"BehaviorSpace results (NetLogo 5,3,1)",,,,,,,,
"NCDrone_Multi_infrange,nlogo",,,,,,,,
multi_infrange10k,,,,,,,,
03/29/2019 00:28:03:672 -0300,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
0,49,0,49,,,,,
[run number],number-of-ants,time-between-ants,[step],qmi,sdf,number-of-coverages,turn-side,turn-back
3,4,1,10000,"847,28","1,85",11,2783,5
7,4,1,10000,"830,47","1,37",12,2701,2
6,4,1,10000,"854,29","2,13",9,2777,4
4,4,1,10000,"857,3","1,45",12,3327,7
2,4,1,10000,"865,93","1,28",12,3016,7
5,4,1,10000,"813,39","1,75",12,2679,5
8,4,1,10000,"862,99","1,76",11,3692,11
1,4,1,10000,"791,35","1,44",12,2407,3
9,4,1,10000,"833,11","1,65",12,2504,5
10,4,1,10000,"810,9","1,34",12,3248,5
11,4,1,10000,"877,66","1,6",12,3167,4
12,4,1,10000,"794,98","1,82",11,2656,7
14,4,1,10000,"839,85","1,43",12,3160,4
13,4,1,10000,"830,58","1,75",11,3024,7
15,4,1,10000,"836,82","1,69",11,2724,4
16,4,1,10000,"821,45","1,8",11,3408,4
17,4,1,10000,"854,55","1,59",12,3370,5
18,4,1,10000,"798,3","1,5",11,2796,5
19,4,1,10000,"891,46","2,05",10,2611,2
20,4,1,10000,"846,81","1,69",11,2812,3
21,4,1,10000,"866,2","2,12",9,2734,3
22,4,1,10000,"868,66","1,62",12,3276,6
23,4,1,10000,"853,19","1,94",12,3328,5
24,4,1,10000,"857,5","1,46",12,2560,3
25,4,1,10000,"848,71","1,45",12,3290,30
27,4,1,10000,"833,44","1,63",12,3161,5
26,4,1,10000,"827,4","1,95",11,2644,3
28,4,1,10000,"820,75","1,48",12,2860,5
29,4,1,10000,"833,88","2,23",11,2504,9
30,4,1,10000,"794,23","1,54",12,2852,7
,,,,,"1,6786666667",,,
,,,,,"0,2501548945",,,
