"BehaviorSpace results (NetLogo 5.3.1)"
"NCDrones_Max.nlogo"
"max10k"
"03/29/2019 09:42:38:035 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","number-of-ants","time-between-ants","[step]","qmi","sdf","number-of-coverages","turn-side","turn-back"
"5","4","1","10000","809.47","1.63","13","2592","1"
"3","4","1","10000","784.83","2.05","11","2642","5"
"4","4","1","10000","799.05","1.55","12","2647","2"
"2","4","1","10000","800.56","1.84","11","2960","2"
"7","4","1","10000","854.85","1.86","11","2586","3"
"8","4","1","10000","829.52","2.18","10","3190","2"
"6","4","1","10000","789.95","1.96","10","2573","3"
"1","4","1","10000","809.07","1.65","12","2798","8"
"9","4","1","10000","813.6","2.06","10","3093","4"
"12","4","1","10000","825.44","2.34","11","2852","1"
"11","4","1","10000","793.9","2.29","10","2423","2"
"10","4","1","10000","805.17","2.22","10","3113","1"
"14","4","1","10000","817.93","1.61","12","2291","5"
"13","4","1","10000","815.21","2.38","10","2948","0"
"15","4","1","10000","819.81","2.09","9","2952","0"
"17","4","1","10000","798.86","2.31","11","2647","3"
"19","4","1","10000","820.5","2.13","9","2968","5"
"20","4","1","10000","821.33","1.51","11","2616","0"
"18","4","1","10000","816.69","2.65","10","2898","0"
"16","4","1","10000","803.04","1.51","10","2589","1"
"21","4","1","10000","799.41","2.12","11","2661","2"
"24","4","1","10000","834.24","1.95","9","3502","1"
"23","4","1","10000","822.13","1.69","12","2950","5"
"22","4","1","10000","802.75","1.57","11","2794","3"
"25","4","1","10000","834.82","1.95","10","2689","4"
"27","4","1","10000","804.1","1.88","11","2723","1"
"26","4","1","10000","803.88","2.1","10","2768","0"
"28","4","1","10000","783.33","1.84","11","2773","4"
"29","4","1","10000","855.61","2.04","11","2686","6"
"30","4","1","10000","791.91","2.32","10","3047","1"
