"BehaviorSpace results (NetLogo 5.3.1)"
"NCDrones_Max.nlogo"
"max15k"
"03/29/2019 10:02:14:216 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","number-of-ants","time-between-ants","[step]","qmi","sdf","number-of-coverages","turn-side","turn-back"
"8","4","1","15000","824.26","1.64","19","4629","4"
"2","4","1","15000","827.46","1.99","19","5011","1"
"5","4","1","15000","823.33","1.65","19","6157","5"
"4","4","1","15000","862.61","1.6","19","4955","4"
"3","4","1","15000","804.98","1.66","20","4160","5"
"6","4","1","15000","811.63","1.76","19","5855","3"
"1","4","1","15000","838.69","1.8","20","4704","9"
"7","4","1","15000","820.07","1.75","19","5927","7"
"9","4","1","15000","824.17","1.37","21","4068","6"
"12","4","1","15000","859.05","1.7","18","5304","8"
"10","4","1","15000","871.47","1.61","19","5557","5"
"11","4","1","15000","822.82","1.81","19","5267","3"
"14","4","1","15000","828.37","2.02","18","6369","4"
"13","4","1","15000","833.12","1.98","17","6095","3"
"15","4","1","15000","839.65","1.56","18","5651","4"
"17","4","1","15000","814.22","2.13","18","5017","3"
"19","4","1","15000","837.37","1.79","16","5351","5"
"18","4","1","15000","810","2","19","5619","3"
"16","4","1","15000","856.53","1.53","20","5412","5"
"21","4","1","15000","852.03","1.63","19","4923","12"
"20","4","1","15000","835.78","1.76","19","4206","5"
"22","4","1","15000","815.45","1.67","19","4478","2"
"26","4","1","15000","841.95","1.9","18","4994","6"
"24","4","1","15000","834.95","1.65","18","6732","12"
"23","4","1","15000","831.28","2.02","19","4484","7"
"25","4","1","15000","840.89","2.49","18","5388","5"
"28","4","1","15000","810.5","2.13","18","5304","5"
"29","4","1","15000","854.06","2.23","17","6774","6"
"27","4","1","15000","833.6","2.3","18","5940","6"
"30","4","1","15000","841.11","2.04","18","5182","5"
