"BehaviorSpace results (NetLogo 5,3,1)",,,,,,,,
"NCDrones_Max_Infrange,nlogo",,,,,,,,
max15k,,,,,,,,
04/04/2019 09:01:36:849 -0300,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
0,49,0,49,,,,,
[run number],number-of-ants,time-between-ants,[step],qmi,sdf,number-of-coverages,turn-side,turn-back
2,4,1,15000,"869,54","2,98",16,7980,5
3,4,1,15000,"895,79","3,44",14,8954,5
4,4,1,15000,"880,13","3,58",15,9043,5
8,4,1,15000,"862,73","3,15",14,9615,5
5,4,1,15000,"866,48","3,46",14,8567,9
7,4,1,15000,"854,42","3,58",14,8795,11
6,4,1,15000,"868,94","3,68",12,8780,8
1,4,1,15000,"862,72","3,58",14,8230,1
10,4,1,15000,"878,31","3,61",13,9088,7
11,4,1,15000,"874,28","3,57",14,9782,15
9,4,1,15000,"872,32","3,45",14,9873,9
13,4,1,15000,"871,52","3,72",13,9300,5
12,4,1,15000,"869,56","3,8",13,9256,6
15,4,1,15000,"883,82","3,22",15,9571,6
14,4,1,15000,"874,64","3,26",15,9884,6
17,4,1,15000,"861,7","3,62",14,9699,7
16,4,1,15000,"868,93","3,74",15,9451,9
18,4,1,15000,"865,72","3,58",14,9551,8
19,4,1,15000,"881,36","3,6",14,9170,6
20,4,1,15000,"852,19","3,38",14,9682,8
22,4,1,15000,"861,65","3,53",13,8488,8
21,4,1,15000,"862,52","3,17",14,9253,10
23,4,1,15000,"884,55","3,56",14,8941,11
24,4,1,15000,"865,34","3,41",15,8850,4
26,4,1,15000,"865,17","3,47",13,8864,8
27,4,1,15000,"845,96","3,48",13,9445,8
25,4,1,15000,"855,19","3,94",14,9355,9
29,4,1,15000,"898,18","3,51",13,9546,7
28,4,1,15000,"863,55","3,27",15,8719,12
30,4,1,15000,"873,99","3,41",13,8521,9
,,,,"869,7066666667","3,4916666667",,,
,,,,"11,7461181653","0,2052598577",,,
