"BehaviorSpace results (NetLogo 5.3.1)"
"multi_pes_time.nlogo"
"multi_pes_ts15k"
"05/10/2019 15:14:23:447 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","number-of-ants","time-between-ants","[step]","qmi","sdf","number-of-coverages","turn-side","turn-back"
"4","4","1","15000","893.42","1.39","20","15955","1205"
"3","4","1","15000","901.92","1.28","20","16635","1098"
"2","4","1","15000","891.53","1.49","20","15987","1035"
"5","4","1","15000","896.42","1.51","19","14352","885"
"6","4","1","15000","895.74","1.52","20","17067","1278"
"8","4","1","15000","907.56","1.28","20","16163","1207"
"1","4","1","15000","910.54","1.35","19","15253","1219"
"7","4","1","15000","907","1.2","20","15286","1100"
"9","4","1","15000","892.72","1.33","19","15935","1219"
"10","4","1","15000","893.33","1.34","20","15618","883"
"11","4","1","15000","882.78","1.34","20","16096","1016"
"12","4","1","15000","912.92","1.49","20","15474","1228"
"13","4","1","15000","902.7","1.38","20","16009","1334"
"14","4","1","15000","915.44","1.45","19","16290","1207"
"16","4","1","15000","916.62","1.71","19","16704","1268"
"15","4","1","15000","889.78","1.71","20","15322","1113"
"17","4","1","15000","889.1","1.48","18","16602","1450"
"18","4","1","15000","889.13","1.41","20","15494","1041"
"19","4","1","15000","918.51","1.43","19","15255","1144"
"20","4","1","15000","917.19","1.17","21","14611","894"
"21","4","1","15000","895.29","1.42","20","16521","954"
"22","4","1","15000","915.04","1.27","19","14839","1066"
"25","4","1","15000","896.36","1.49","20","15314","1100"
"23","4","1","15000","911.19","1.28","21","14643","994"
"24","4","1","15000","892.84","1.34","20","15940","1074"
"26","4","1","15000","924.11","1.66","19","15897","1414"
"27","4","1","15000","910.68","1.69","20","15978","1181"
"28","4","1","15000","921.76","1.11","21","15996","1179"
"29","4","1","15000","894.15","1.3","19","16295","990"
"30","4","1","15000","919.94","1.47","19","16299","1109"
