"BehaviorSpace results (NetLogo 5.3.1)"
"NCDrone_WS.nlogo"
"nc-ws20k"
"05/03/2019 13:01:27:797 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","number-of-ants","time-between-ants","[step]","qmi","sdf","number-of-coverages","turn-side","turn-back"
"4","4","1","20000","730.14","0.72","30","42977","240"
"3","4","1","20000","734.48","0.76","30","42644","256"
"7","4","1","20000","733.17","0.8","30","43204","230"
"8","4","1","20000","735.84","0.83","29","42553","269"
"2","4","1","20000","736.55","0.72","30","42717","259"
"6","4","1","20000","732.69","0.7","30","42931","284"
"5","4","1","20000","736.76","0.81","29","42827","252"
"1","4","1","20000","732.21","0.74","29","42982","269"
"9","4","1","20000","736.46","0.72","28","42942","217"
"11","4","1","20000","734.24","0.78","30","42774","260"
"13","4","1","20000","732.25","0.79","30","42736","269"
"14","4","1","20000","730.79","0.72","30","43159","265"
"10","4","1","20000","738.12","0.72","29","43081","249"
"12","4","1","20000","737.75","0.82","29","43263","248"
"15","4","1","20000","731.69","0.74","30","42635","280"
"16","4","1","20000","732.78","0.7","29","42931","245"
"17","4","1","20000","732.9","0.77","29","43105","265"
"18","4","1","20000","731.8","0.79","30","43178","275"
"20","4","1","20000","731.65","0.76","29","43369","242"
"19","4","1","20000","731.79","0.84","29","42941","262"
"22","4","1","20000","731.63","0.71","30","43135","224"
"21","4","1","20000","730.81","0.78","29","43138","245"
"23","4","1","20000","731.77","0.76","30","43080","219"
"24","4","1","20000","729.3","0.71","29","42749","237"
"25","4","1","20000","737.97","0.75","29","42950","254"
"26","4","1","20000","735.85","0.67","30","42942","269"
"28","4","1","20000","732.34","0.72","30","42606","249"
"27","4","1","20000","732.57","0.79","30","42643","274"
"29","4","1","20000","731.24","0.77","30","42404","261"
"30","4","1","20000","732.93","0.76","30","42808","242"
