"BehaviorSpace results (NetLogo 5.3.1)"
"multi_pes.nlogo"
"multi_pes10k"
"05/07/2019 14:13:05:457 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","number-of-ants","time-between-ants","[step]","qmi","sdf","number-of-coverages","turn-side","turn-back"
"6","4","1","10000","858.74","1.04","13","9531","535"
"2","4","1","10000","868.1","1.2","13","9086","659"
"7","4","1","10000","857.3","1.35","12","9483","645"
"4","4","1","10000","854.88","1.13","12","9279","505"
"8","4","1","10000","850.37","1.39","12","9400","481"
"3","4","1","10000","843.36","1.52","12","9235","553"
"5","4","1","10000","868.25","1.37","12","10213","629"
"1","4","1","10000","863.19","1.26","13","9172","589"
"11","4","1","10000","849.19","1.23","13","8478","386"
"9","4","1","10000","882.62","1.05","13","9169","523"
"12","4","1","10000","851.74","1.08","13","9138","469"
"10","4","1","10000","846.63","1.14","13","9619","457"
"13","4","1","10000","870.46","1.29","12","9520","640"
"14","4","1","10000","858.28","1.39","13","9597","560"
"15","4","1","10000","844.5","1.31","13","8858","505"
"17","4","1","10000","861","1.16","13","8759","493"
"18","4","1","10000","851.28","1.18","12","8998","565"
"16","4","1","10000","883.23","1.44","12","9440","507"
"20","4","1","10000","856.21","1.17","12","9399","519"
"21","4","1","10000","871.22","1.15","13","9842","646"
"19","4","1","10000","856.45","1.41","13","9149","510"
"22","4","1","10000","877.61","1.15","13","9386","658"
"23","4","1","10000","867.29","1.62","12","9378","546"
"24","4","1","10000","841.68","1.21","13","8540","496"
"25","4","1","10000","863.23","1.41","12","7994","523"
"27","4","1","10000","859.2","1.18","13","8275","476"
"28","4","1","10000","868.04","1.29","12","9432","579"
"29","4","1","10000","866.1","1.33","12","8852","614"
"26","4","1","10000","866.64","1.23","12","10022","689"
"30","4","1","10000","874.36","1.53","11","9060","560"
