"BehaviorSpace results (NetLogo 5,3,1)",,,,,,,,
"max_ws_tsB,nlogo",,,,,,,,
10k,,,,,,,,
04/10/2019 16:50:14:724 -0300,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
0,49,0,49,,,,,
[run number],number-of-ants,time-between-ants,[step],qmi,sdf,number-of-coverages,turn-side,turn-back
7,4,1,10000,"816,51","1,98",11,7321,32
2,4,1,10000,"795,49","1,92",11,6972,35
4,4,1,10000,"799,34","2,06",11,7038,33
6,4,1,10000,"816,62","2,13",10,7227,36
8,4,1,10000,"793,57","1,97",11,7460,25
5,4,1,10000,"798,69","2,08",11,7339,36
1,4,1,10000,"811,92","1,94",11,7277,31
3,4,1,10000,"811,25","1,98",11,7260,31
11,4,1,10000,"805,74","2,1",10,7285,29
10,4,1,10000,"804,92","2,04",11,7168,40
14,4,1,10000,"811,2","1,88",11,6399,31
9,4,1,10000,"796,79","1,84",11,7452,29
12,4,1,10000,"797,43","2,06",11,7025,32
15,4,1,10000,"813,75","1,9",11,7071,28
13,4,1,10000,"812,49","2,04",11,7362,38
16,4,1,10000,"817,9","2,19",11,7320,33
17,4,1,10000,"792,44","1,92",11,7287,36
18,4,1,10000,"812,65","2,13",11,7381,18
19,4,1,10000,"820,35","2,04",11,7270,42
23,4,1,10000,"809,71","2,02",11,7027,21
20,4,1,10000,"804,3","1,76",11,7531,30
21,4,1,10000,"804,43","1,95",11,7401,33
24,4,1,10000,"799,91","2,24",10,7131,36
22,4,1,10000,"817,43","2,14",11,7303,44
25,4,1,10000,"793,68","2,03",11,7172,37
26,4,1,10000,"802,56","1,96",11,6876,21
27,4,1,10000,"800,75","2,01",11,7446,28
30,4,1,10000,"812,37","2,07",11,7341,28
29,4,1,10000,"805,96","1,89",11,7160,42
28,4,1,10000,"806,18","1,98",11,7420,33
,,,,"806,211","2,0083333333",,,
,,,,"0,1053756281","0,1053756281",,,
