"BehaviorSpace results (NetLogo 5,3,1)",,,,,,,,
"avg_ws_tsB,nlogo",,,,,,,,
10k,,,,,,,,
04/10/2019 17:14:40:770 -0300,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
0,49,0,49,,,,,
[run number],number-of-ants,time-between-ants,[step],qmi,sdf,number-of-coverages,turn-side,turn-back
7,4,1,10000,"802,81","2,29",10,7001,26
5,4,1,10000,"806,07","2,12",11,7242,25
3,4,1,10000,"805,95","2,27",10,6721,25
6,4,1,10000,"801,89","2,14",10,7437,26
2,4,1,10000,"799,16","2,33",10,7145,27
8,4,1,10000,"791,86","2,3",10,6930,33
1,4,1,10000,"816,09","2,33",10,7560,42
4,4,1,10000,"800,54","2,35",11,7499,21
11,4,1,10000,"794,35","2,54",10,7005,15
10,4,1,10000,"807,6","2,41",10,7505,22
14,4,1,10000,"796,27","2,3",10,7289,19
9,4,1,10000,"811,79","2,34",9,7535,32
12,4,1,10000,"800,81","2,38",10,7317,33
13,4,1,10000,"799,26","2,2",10,7102,19
16,4,1,10000,"799,99","2,35",10,6994,26
15,4,1,10000,"800,61","2,27",10,7067,38
17,4,1,10000,"806,95","2,34",10,7347,28
19,4,1,10000,"804,6","2,31",10,7369,23
20,4,1,10000,"802,51","2,22",9,7045,15
18,4,1,10000,"797,91","2,28",10,7035,21
21,4,1,10000,"785,95","2,2",10,7308,34
22,4,1,10000,"806,91","2,27",10,6551,30
23,4,1,10000,"805,55","2,43",10,6925,26
24,4,1,10000,"797,92","2,2",10,7249,27
28,4,1,10000,"804,14","2,43",9,7162,18
25,4,1,10000,"803,27","2,22",10,7371,19
29,4,1,10000,"796,37","2,4",10,7246,22
26,4,1,10000,"804,87","2,3",10,7289,29
27,4,1,10000,"807,81","2,29",10,7519,26
30,4,1,10000,"795,64","2,46",10,7766,23
,,,,"801,8483333333","2,309",,,
,,,,"6,0363497096","0,0941879998",,,
