"BehaviorSpace results (NetLogo 5.3.1)"
"Centralized_CFS.nlogo"
"c_cfs15k"
"05/08/2019 10:12:14:685 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","number-of-ants","time-between-ants","[step]","qmi","sdf","number-of-coverages","turn-side","turn-back"
"2","4","1","15000","945.85","18.88","5","3634","27"
"3","4","1","15000","898.37","16.6","6","3617","4"
"4","4","1","15000","945.79","17.78","4","3835","11"
"6","4","1","15000","951.08","18.35","5","3652","14"
"7","4","1","15000","909.66","19.21","4","3422","10"
"8","4","1","15000","936.54","18.81","5","3595","15"
"5","4","1","15000","945.58","18.32","1","3571","11"
"1","4","1","15000","975.89","19.24","4","3607","15"
"9","4","1","15000","957.93","19.61","3","3524","19"
"10","4","1","15000","915.3","17.25","6","3562","19"
"11","4","1","15000","966.16","17.17","4","3664","13"
"12","4","1","15000","875.59","18.48","4","3331","14"
"14","4","1","15000","960.05","19.19","4","3669","19"
"13","4","1","15000","959.19","18.39","3","3580","18"
"15","4","1","15000","884.81","18.03","6","3539","16"
"17","4","1","15000","984.06","18.95","4","3665","26"
"16","4","1","15000","938.9","18.03","6","3661","19"
"18","4","1","15000","936.79","18.87","6","3495","10"
"19","4","1","15000","951.7","19.3","4","3561","20"
"20","4","1","15000","910.17","17.31","3","3576","13"
"21","4","1","15000","969.54","19.44","5","3682","17"
"22","4","1","15000","979.94","19.14","4","3435","22"
"23","4","1","15000","917.1","18.23","5","3447","19"
"26","4","1","15000","934.35","17.38","6","3725","12"
"24","4","1","15000","950.38","20.92","4","3400","22"
"27","4","1","15000","900.9","17.41","5","3553","10"
"25","4","1","15000","929.07","19.43","4","3314","14"
"28","4","1","15000","941.85","18.45","5","3595","21"
"29","4","1","15000","942.31","19.88","5","3273","19"
"30","4","1","15000","947.33","18.58","3","3527","18"
