"BehaviorSpace results (NetLogo 5.3.1)"
"Centralized_CFS.nlogo"
"c_cfs10k"
"05/08/2019 10:24:16:916 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","number-of-ants","time-between-ants","[step]","qmi","sdf","number-of-coverages","turn-side","turn-back"
"3","4","1","10000","811.26","5.24","7","3210","24"
"2","4","1","10000","832.82","6.56","5","2993","32"
"4","4","1","10000","811.59","5.56","5","2636","36"
"5","4","1","10000","896.45","7.34","5","2534","14"
"7","4","1","10000","815.79","8.86","3","2840","54"
"6","4","1","10000","839.73","6.33","8","3197","24"
"8","4","1","10000","851.83","6.83","4","2956","18"
"1","4","1","10000","848.42","6.52","6","3009","38"
"9","4","1","10000","859.12","6.32","5","2939","15"
"10","4","1","10000","870.93","7.12","5","2978","42"
"12","4","1","10000","826.1","7.26","5","2855","23"
"11","4","1","10000","889.03","7.02","4","2930","51"
"17","4","1","10000","901.9","7.54","5","2283","30"
"13","4","1","10000","824.64","5.32","6","2893","45"
"16","4","1","10000","848.87","6.72","6","3093","51"
"18","4","1","10000","933.04","7.53","4","2659","28"
"14","4","1","10000","870.23","7.14","3","2777","20"
"15","4","1","10000","830.42","7.93","3","2759","78"
"19","4","1","10000","837.41","6.72","2","2835","42"
"20","4","1","10000","934.2","6.27","7","2763","25"
"21","4","1","10000","909.38","5.92","6","2905","23"
"24","4","1","10000","843.53","6.33","7","3000","25"
"26","4","1","10000","883.45","6.63","7","2839","41"
"22","4","1","10000","886.14","7.22","4","2468","24"
"23","4","1","10000","803.37","5.79","6","3343","19"
"27","4","1","10000","849.17","5.87","6","2701","36"
"25","4","1","10000","828.47","5.5","4","3580","33"
"28","4","1","10000","864.95","5.52","7","2976","31"
"29","4","1","10000","821.1","6.67","5","3301","27"
"30","4","1","10000","828.95","6.42","4","2806","28"
