"BehaviorSpace results (NetLogo 5.3.1)"
"Centralized_CFS.nlogo"
"c_cfs15k"
"05/08/2019 10:17:04:009 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","number-of-ants","time-between-ants","[step]","qmi","sdf","number-of-coverages","turn-side","turn-back"
"2","4","1","15000","853.93","11.33","9","3794","9"
"5","4","1","15000","892.8","14.55","5","3213","42"
"4","4","1","15000","906.79","13.4","7","3938","20"
"6","4","1","15000","854.78","12.71","7","3725","25"
"7","4","1","15000","826.48","11.78","7","3798","24"
"8","4","1","15000","844.76","10.36","9","4095","21"
"3","4","1","15000","888.29","13.63","6","4105","38"
"1","4","1","15000","882.65","12.14","7","4065","25"
"10","4","1","15000","852.86","12.3","8","4127","29"
"9","4","1","15000","833.73","11.58","6","4000","31"
"13","4","1","15000","833.98","11.78","9","4278","31"
"14","4","1","15000","817.21","12.43","9","4005","35"
"11","4","1","15000","873.03","12.34","8","3716","23"
"15","4","1","15000","895.27","11.87","6","3916","24"
"12","4","1","15000","891.93","13.56","5","3938","38"
"17","4","1","15000","921.78","13.18","6","3779","55"
"18","4","1","15000","915.44","13.86","4","3749","31"
"20","4","1","15000","855.23","10.83","10","4118","25"
"21","4","1","15000","896.1","14.47","4","3470","53"
"19","4","1","15000","856.37","10.92","9","3803","24"
"23","4","1","15000","936.26","12.92","7","3442","46"
"22","4","1","15000","849.65","10.61","10","4290","22"
"16","4","1","15000","857.03","11.17","7","4328","29"
"24","4","1","15000","852.82","12.61","9","3716","24"
"25","4","1","15000","852.13","12.57","6","3967","18"
"26","4","1","15000","864.98","13.5","5","3936","50"
"27","4","1","15000","873.66","12.79","8","3694","27"
"28","4","1","15000","924.23","14.75","5","3637","25"
"30","4","1","15000","837.19","11.94","10","4001","27"
"29","4","1","15000","854.5","12.5","9","3673","24"
