"BehaviorSpace results (NetLogo 5.3.1)"
"Centralized_CFS.nlogo"
"c_cfs10k"
"05/08/2019 09:04:48:391 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","number-of-ants","time-between-ants","[step]","qmi","sdf","number-of-coverages","turn-side","turn-back"
"4","4","1","10000","738.34","0.69","14","5989","5"
"2","4","1","10000","744.01","0.75","14","6158","7"
"3","4","1","10000","742.52","0.78","14","5523","12"
"7","4","1","10000","743.3","0.7","14","6084","5"
"8","4","1","10000","742.99","0.63","14","6373","12"
"6","4","1","10000","745.68","0.62","14","6238","10"
"5","4","1","10000","730.24","0.72","14","5937","6"
"1","4","1","10000","740.53","0.77","14","6067","9"
"9","4","1","10000","740.88","0.73","14","5860","13"
"11","4","1","10000","730.02","0.82","13","6042","7"
"10","4","1","10000","732.65","0.7","14","6336","13"
"12","4","1","10000","736.48","0.7","14","6123","18"
"13","4","1","10000","739.43","0.67","14","6182","2"
"14","4","1","10000","737.08","0.71","14","6319","7"
"15","4","1","10000","732.57","0.66","14","5677","10"
"19","4","1","10000","727.47","0.71","14","5976","8"
"17","4","1","10000","729.36","0.82","14","5511","8"
"18","4","1","10000","736.54","0.67","14","5835","10"
"16","4","1","10000","742.66","0.66","14","6085","14"
"20","4","1","10000","726.45","0.68","14","5269","12"
"21","4","1","10000","735.16","0.71","14","5728","7"
"22","4","1","10000","734.95","0.81","14","6094","10"
"23","4","1","10000","726.24","0.79","13","5850","8"
"25","4","1","10000","730.99","0.72","14","5828","5"
"24","4","1","10000","724.89","0.63","15","5584","9"
"26","4","1","10000","737.66","0.69","14","6290","8"
"27","4","1","10000","735.35","0.73","14","6162","10"
"28","4","1","10000","741.99","0.73","14","6076","11"
"29","4","1","10000","741.3","0.65","14","5478","10"
"30","4","1","10000","743.27","0.67","15","5417","10"
