"BehaviorSpace results (NetLogo 5.3.1)"
"Centralized_CFS.nlogo"
"c_cfs15k"
"05/08/2019 10:25:16:839 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","number-of-ants","time-between-ants","[step]","qmi","sdf","number-of-coverages","turn-side","turn-back"
"4","4","1","15000","847.81","7.72","10","4842","33"
"6","4","1","15000","824.64","8.75","10","4552","60"
"7","4","1","15000","868.12","8.23","10","4441","45"
"2","4","1","15000","864.7","10.26","9","4675","54"
"5","4","1","15000","861.15","8.08","9","4339","54"
"3","4","1","15000","849.33","9.73","9","4531","42"
"8","4","1","15000","906.19","10.56","8","4163","59"
"1","4","1","15000","877.85","8.73","10","5228","44"
"9","4","1","15000","867.47","8.87","10","4422","48"
"12","4","1","15000","880.61","9.18","11","4453","48"
"10","4","1","15000","863.63","8.73","8","4865","36"
"11","4","1","15000","878.77","8.65","11","4727","56"
"14","4","1","15000","856.59","7.72","12","5156","55"
"13","4","1","15000","866.91","7.51","9","4613","60"
"15","4","1","15000","856","9.65","8","4721","73"
"17","4","1","15000","892.69","10.05","10","4691","70"
"18","4","1","15000","862.66","9.19","8","4519","24"
"19","4","1","15000","914.28","12.08","9","4490","39"
"20","4","1","15000","833.61","8.03","11","4693","50"
"16","4","1","15000","889.3","7.19","9","5084","64"
"21","4","1","15000","874.06","7.57","12","4977","58"
"22","4","1","15000","849.65","8.47","10","4858","40"
"24","4","1","15000","863.81","10.21","9","4337","42"
"25","4","1","15000","852.93","10.28","9","4619","83"
"23","4","1","15000","843.23","7.33","11","5759","55"
"26","4","1","15000","872.87","10.09","11","4780","65"
"27","4","1","15000","852.03","8.85","8","4758","58"
"30","4","1","15000","843.31","8.72","8","4318","56"
"29","4","1","15000","901.92","9.38","7","4117","48"
"28","4","1","15000","887.74","10.69","8","4711","76"
